Provinsi,JMP,AMH,APS,PAK
ACEH,818.47,98.25,83.1,127.21
SUMATERA UTARA,1262.09,99.11,78.66,139.26
SUMATERA BARAT,343.82,99.29,83.71,138.86
RIAU,493.13,99.18,77.32,126.87
JAMBI,283.82,98.1,72.53,135.14
SUMATERA SELATAN,1054.99,98.65,70.93,138.27
BENGKULU,292.93,97.8,79.31,139.08
LAMPUNG,995.59,97.25,71.14,139.38
KEP. BANGKA BELITUNG,69.69,98.17,68.42,133.57
KEP. RIAU,148.89,99.02,84.54,137.12
DKI JAKARTA,494.93,99.69,72.1,126.64
JAWA BARAT,4053.62,98.49,68.66,131.94
JAWA TENGAH,3858.23,94.26,70.82,142.05
DI YOGYAKARTA,463.63,95.15,89.95,145.6
JAWA TIMUR,4236.51,93.32,73.4,143.04
BANTEN,829.66,98.16,69.22,128.86
BALI,205.36,95.53,83.84,153.68
NUSA TENGGARA BARAT,744.69,88.97,77.43,142.43
NUSA TENGGARA TIMUR,1149.17,94.63,75.55,150.72
KALIMANTAN BARAT,356.51,93.96,68.72,137.52
KALIMANTAN TENGAH,144.52,99.12,66.32,132.85
KALIMANTAN SELATAN,201.95,98.36,69.88,134.87
KALIMANTAN TIMUR,242.3,98.97,81.43,127.91
KALIMANTAN UTARA,50.58,97.71,76.5,132.97
SULAWESI UTARA,187.33,99.81,74.33,125.56
SULAWESI TENGAH,389.71,98.05,75.84,139.54
SULAWESI SELATAN,782.32,93.31,70.81,133.37
SULAWESI TENGGARA,314.74,95.79,74.53,137.85
GORONTALO,187.35,98.42,71.68,137.94
SULAWESI BARAT,169.26,93.82,70.85,145.93
MALUKU,296.66,99.4,79.03,130.8
MALUKU UTARA,82.13,98.78,77.7,129.16
PAPUA BARAT,222.36,97.64,80.56,135.51
PAPUA,936.32,81.19,65.93,154.58