Provinsi,PPM,AMH,APS,PAK,TPT,Pengeluaran
ACEH,14.75,98.25,83.1,127.21,6.17,1180132.93
SUMATERA UTARA,8.33,99.11,78.66,139.26,6.16,1216496.65
SUMATERA BARAT,6.04,99.29,83.71,138.86,6.28,1342985.51
RIAU,6.84,99.18,77.32,126.87,4.37,1425170.86
JAMBI,7.7,98.1,72.53,135.14,4.59,1261836.78
SUMATERA SELATAN,11.95,98.65,70.93,138.27,4.63,1148812.47
BENGKULU,14.34,97.8,79.31,139.08,3.59,1196483.76
LAMPUNG,11.44,97.25,71.14,139.38,4.52,1074987.43
KEP. BANGKA BELITUNG,4.61,98.17,68.42,133.57,4.77,1654280.53
KEP. RIAU,6.03,99.02,84.54,137.12,8.23,1831700.4
DKI JAKARTA,4.61,99.69,72.1,126.64,7.18,2525347.37
JAWA BARAT,7.98,98.49,68.66,131.94,8.31,1437394.12
JAWA TENGAH,10.98,94.26,70.82,142.05,5.57,1121793.86
DI YOGYAKARTA,11.49,95.15,89.95,145.6,4.06,1480374.28
JAWA TIMUR,10.49,93.32,73.4,143.04,5.49,1165137.91
BANTEN,6.24,98.16,69.22,128.86,8.09,1619571.71
BALI,4.53,95.53,83.84,153.68,4.8,1442609.77
NUSA TENGGARA BARAT,13.82,88.97,77.43,142.43,2.89,1160662.07
NUSA TENGGARA TIMUR,20.23,94.63,75.55,150.72,3.54,884102.08
KALIMANTAN BARAT,6.81,93.96,68.72,137.52,5.11,1232618.22
KALIMANTAN TENGAH,5.22,99.12,66.32,132.85,4.26,1442295.24
KALIMANTAN SELATAN,4.61,98.36,69.88,134.87,4.74,1407718.94
KALIMANTAN TIMUR,6.44,98.97,81.43,127.91,5.71,1797485.53
KALIMANTAN UTARA,6.86,97.71,76.5,132.97,4.33,1570185.98
SULAWESI UTARA,7.34,99.81,74.33,125.56,6.61,1236705.51
SULAWESI TENGAH,12.3,98.05,75.84,139.54,3,1083678.96
SULAWESI SELATAN,8.66,93.31,70.81,133.37,4.51,1142611.7
SULAWESI TENGGARA,11.27,95.79,74.53,137.85,3.36,1111595.3
GORONTALO,15.51,98.42,71.68,137.94,2.58,1142996.73
SULAWESI BARAT,11.92,93.82,70.85,145.93,2.34,955905.28
MALUKU,16.23,99.4,79.03,130.8,6.88,1169828.33
MALUKU UTARA,6.37,98.78,77.7,129.16,3.98,1128586.35
PAPUA BARAT,21.43,97.64,80.56,135.51,5.37,1448505.39
PAPUA,26.8,81.19,65.93,154.58,2.83,1454320.71